142705,398452
142705,398996
142768,398996
142768,399092
142705,399092
142705,399636
142768,399636
142768,399732
142705,399732
142705,400000
143317,400000
143317,399732
142774,399732
142774,399636
142894,399636
142894,399540
143037,399540
143037,399532
142877,399532
142877,399284
142837,399284
142837,399126
142945,399126
142945,399188
142974,399188
142974,399092
142774,399092
142774,398996
149357,398996
149357,398916
149277,398916
149277,398532
149357,398532
149357,398452
149025,398452
149025,398799
148917,398799
148917,398452
148865,398452
148865,398799
148757,398799
148757,398452
148705,398452
148705,398799
148597,398799
148597,398452
148545,398452
148545,398799
148437,398799
148437,398452
148385,398452
148385,398799
148277,398799
148277,398452
148225,398452
148225,398799
148117,398799
148117,398452
148065,398452
148065,398799
147957,398799
147957,398452
147905,398452
147905,398900
147317,398900
147317,398452
147265,398452
147265,398799
147157,398799
147157,398452
147105,398452
147105,398799
146997,398799
146997,398452
146945,398452
146945,398799
146837,398799
146837,398452
146785,398452
146785,398799
146677,398799
146677,398452
146625,398452
146625,398799
146517,398799
146517,398452
146465,398452
146465,398799
146357,398799
146357,398452
146305,398452
146305,398799
146197,398799
146197,398452
145825,398452
145825,398799
145717,398799
145717,398452
145665,398452
145665,398799
145557,398799
145557,398452
145505,398452
145505,398799
145397,398799
145397,398452
145345,398452
145345,398799
145237,398799
145237,398452
145185,398452
145185,398799
145077,398799
145077,398452
145025,398452
145025,398799
144917,398799
144917,398452
144865,398452
144865,398799
144757,398799
144757,398452
144705,398452
144705,398900
144117,398900
144117,398452
144065,398452
144065,398799
143957,398799
143957,398452
143905,398452
143905,398799
143797,398799
143797,398452
143745,398452
143745,398799
143637,398799
143637,398452
143585,398452
143585,398799
143477,398799
143477,398452
143425,398452
143425,398799
143317,398799
143317,398452
143265,398452
143265,398799
143157,398799
143157,398452
143105,398452
143105,398799
142997,398799
142997,398996
142705,398996
142705,398799
143105,398799
143105,398452
144225,398452
144225,398772
144597,398772
144597,398732
144491,398732
144491,398452
147425,398452
147425,398772
147797,398772
147797,398732
147531,398732
147531,398452
144491,398452
144491,398732
144331,398732
144331,398452
142705,398452
